date,price,p_code
2021-09-22,,AW_A00115
2021-09-22,,AW_A00116
2021-09-22,,AW_A00117
2021-09-22,,AW_A00152
2021-09-22,,AW_A00153
2021-09-22,,AW_A00198
2021-09-22,,AW_A00200
2021-09-22,,AW_A00091
2021-09-22,,AW_A00092
2021-09-22,,AW_A00033
2021-09-22,,AW_A00034
2021-09-22,,AW_A00021
2021-09-22,,AW_A00022
2021-09-22,,AW_A00008
2021-09-22,,AW_A00009
2021-09-21,,AW_A00115
2021-09-21,,AW_A00116
2021-09-21,,AW_A00117
2021-09-21,,AW_A00152
2021-09-21,,AW_A00153
2021-09-21,,AW_A00198
2021-09-21,,AW_A00200
2021-09-21,,AW_A00091
2021-09-21,,AW_A00092
2021-09-21,,AW_A00033
2021-09-21,,AW_A00034
2021-09-21,,AW_A00021
2021-09-21,,AW_A00022
2021-09-21,,AW_A00008
2021-09-21,,AW_A00009
2021-09-20,,AW_A00115
2021-09-20,,AW_A00116
2021-09-20,,AW_A00152
2021-09-20,,AW_A00153
2021-09-20,,AW_A00198
2021-09-20,,AW_A00200
2021-09-20,,AW_A00091
2021-09-20,,AW_A00092
2021-09-20,,AW_A00033
2021-09-20,,AW_A00034
2021-09-20,,AW_A00021
2021-09-20,,AW_A00022
2021-09-20,,AW_A00008
2021-09-20,,AW_A00009
2021-09-18,,AW_A00115
2021-09-18,,AW_A00116
2021-09-18,,AW_A00117
2021-09-18,,AW_A00152
2021-09-18,,AW_A00153
2021-09-18,,AW_A00198
2021-09-18,,AW_A00091
2021-09-18,,AW_A00092
2021-09-18,,AW_A00033
2021-09-18,,AW_A00034
2021-09-18,,AW_A00021
2021-09-18,,AW_A00022
2021-09-18,,AW_A00008
2021-09-18,,AW_A00009
2021-09-17,,AW_A00200
2021-09-16,,AW_A00200
2021-09-15,,AW_A00200
2021-09-14,,AW_A00200
2021-09-13,,AW_A00200
2021-09-11,,AW_A00115
2021-09-11,,AW_A00116
2021-09-11,,AW_A00152
2021-09-11,,AW_A00153
2021-09-11,,AW_A00198
2021-09-11,,AW_A00200
2021-09-11,,AW_A00091
2021-09-11,,AW_A00092
2021-09-11,,AW_A00033
2021-09-11,,AW_A00034
2021-09-11,,AW_A00021
2021-09-11,,AW_A00022
2021-09-11,,AW_A00008
2021-09-11,,AW_A00009
2021-09-04,,AW_A00115
2021-09-04,,AW_A00116
2021-09-04,,AW_A00152
2021-09-04,,AW_A00153
2021-09-04,,AW_A00198
2021-09-04,,AW_A00200
2021-09-04,,AW_A00091
2021-09-04,,AW_A00092
2021-09-04,,AW_A00033
2021-09-04,,AW_A00034
2021-09-04,,AW_A00021
2021-09-04,,AW_A00022
2021-09-04,,AW_A00008
2021-09-04,,AW_A00009
2021-08-28,,AW_A00115
2021-08-28,,AW_A00116
2021-08-28,,AW_A00152
2021-08-28,,AW_A00153
2021-08-28,,AW_A00198
2021-08-28,,AW_A00200
2021-08-28,,AW_A00091
2021-08-28,,AW_A00092
2021-08-28,,AW_A00033
2021-08-28,,AW_A00034
2021-08-28,,AW_A00021
2021-08-28,,AW_A00022
2021-08-28,,AW_A00008
2021-08-28,,AW_A00009
2021-08-21,,AW_A00115
2021-08-21,,AW_A00116
2021-08-21,,AW_A00152
2021-08-21,,AW_A00153
2021-08-21,,AW_A00198
2021-08-21,,AW_A00200
2021-08-21,,AW_A00091
2021-08-21,,AW_A00092
