,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1
224,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-04,-
225,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-04,-
226,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-04,-
227,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-04,-
228,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-04,-
229,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-04,-
230,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-04,-
231,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-04,-
232,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-04,-
233,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-04,-
234,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-04,-
235,감자,152,수미(20kg),01,상품,04,20kg,2022-06-04,-
236,감자,152,수미(20kg),01,중품,05,20kg,2022-06-04,-
237,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-03,"44,200"
238,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-03,"42,000"
239,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-03,"97,800"
240,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-03,"240,000"
241,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-03,"123,000"
242,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-03,"360,000"
243,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-03,"266,000"
244,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-03,"736,000"
245,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-03,"216,000"
246,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-03,"4,500"
247,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-03,"30,000"
248,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-03,"24,000"
249,감자,152,수미(20kg),01,상품,04,20kg,2022-06-03,"38,000"
250,감자,152,수미(20kg),01,중품,05,20kg,2022-06-03,"34,000"
251,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-02,"44,700"
252,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-02,"42,000"
253,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-02,"97,800"
254,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-02,"240,000"
255,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-02,"123,000"
256,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-02,"360,000"
257,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-02,"266,000"
258,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-02,"736,000"
259,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-02,"216,000"
260,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,2022-06-02,"4,500"
261,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-02,"30,000"
262,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-02,"24,000"
263,감자,152,수미(20kg),01,상품,04,20kg,2022-06-02,"38,000"
264,감자,152,수미(20kg),01,중품,05,20kg,2022-06-02,"34,000"
265,쌀,111,일반계(20kg),01,상품,04,20kg,2022-06-01,-
266,쌀,111,일반계(20kg),01,중품,05,20kg,2022-06-01,-
267,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-06-01,-
268,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-06-01,-
269,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-06-01,-
270,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-06-01,-
271,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-06-01,-
272,녹두,143,국산(40kg),00,상품,04,40kg,2022-06-01,-
273,녹두,143,수입(40kg),01,중품,05,40kg,2022-06-01,-
274,고구마,151,밤(10kg),00,상품,04,10kg,2022-06-01,-
275,고구마,151,밤(10kg),00,중품,05,10kg,2022-06-01,-
276,감자,152,수미(20kg),01,상품,04,20kg,2022-06-01,-
277,감자,152,수미(20kg),01,중품,05,20kg,2022-06-01,-
278,쌀,111,일반계(20kg),01,상품,04,20kg,2022-05-31,"44,700"
279,쌀,111,일반계(20kg),01,중품,05,20kg,2022-05-31,"42,000"
280,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-05-31,"97,800"
281,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-05-31,"240,000"
282,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-05-31,"123,000"
283,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-05-31,"360,000"
284,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-05-31,"266,000"
285,녹두,143,국산(40kg),00,상품,04,40kg,2022-05-31,"736,000"
286,녹두,143,수입(40kg),01,중품,05,40kg,2022-05-31,"216,000"
287,고구마,151,밤(10kg),00,상품,04,10kg,2022-05-31,"30,000"
288,고구마,151,밤(10kg),00,중품,05,10kg,2022-05-31,"24,000"
289,감자,152,수미(20kg),01,상품,04,20kg,2022-05-31,"40,000"
290,감자,152,수미(20kg),01,중품,05,20kg,2022-05-31,"36,000"
291,쌀,111,일반계(20kg),01,상품,04,20kg,2022-05-30,"44,700"
292,쌀,111,일반계(20kg),01,중품,05,20kg,2022-05-30,"42,000"
293,찹쌀,112,일반계(40kg),01,중품,05,40kg,2022-05-30,"97,800"
294,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,2022-05-30,"240,000"
295,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,2022-05-30,"123,000"
296,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,2022-05-30,"360,000"
297,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,2022-05-30,"266,000"
298,녹두,143,국산(40kg),00,상품,04,40kg,2022-05-30,"736,000"
299,녹두,143,수입(40kg),01,중품,05,40kg,2022-05-30,"216,000"
300,고구마,151,밤(10kg),00,상품,04,10kg,2022-05-30,"30,000"
301,고구마,151,밤(10kg),00,중품,05,10kg,2022-05-30,"24,000"
302,감자,152,수미(20kg),01,상품,04,20kg,2022-05-30,"40,000"
303,감자,152,수미(20kg),01,중품,05,20kg,2022-05-30,"36,000"
